34.6236596245,78.0246928154,0
30.2867107682,43.894997524,0
35.8474087699,72.9021980271,0
60.1825993862,86.3085520955,1
79.0327360507,75.3443764369,1
45.0832774767,56.3163717815,0
61.1066645368,96.5114258849,1
75.0247455674,46.5540135412,1
76.0987867023,87.4205697193,1
84.4328199612,43.5333933107,1
95.8615550709,38.225278058,0
75.0136583896,30.6032632343,0
82.307053374,76.4819633024,1
69.3645887597,97.7186919619,1
39.5383391437,76.0368108512,0
53.9710521486,89.2073501375,1
69.0701440628,52.7404697302,1
67.9468554771,46.6785741067,0
70.661509555,92.9271378936,1
76.9787837275,47.5759636498,1
67.3720275457,42.8384383203,0
89.6767757507,65.7993659275,1
50.5347882899,48.8558115276,0
34.2120609779,44.2095285987,0
77.9240914546,68.9723599933,1
62.27101367,69.9544579545,1
80.190180751,44.8216289322,1
93.1143887974,38.8006703371,0
61.8302060231,50.2561078924,0
38.7858037968,64.9956809554,0
61.3792894474,72.8078873132,1
85.4045193941,57.0519839763,1
52.1079797319,63.1276237688,0
52.0454047683,69.4328601205,1
40.2368937355,71.1677480218,0
54.6351055542,52.2138858806,0
33.9155001091,98.8694357422,0
64.1769888749,80.9080605867,1
74.7892529594,41.5734152282,0
34.1836400264,75.237720336,0
83.9023936625,56.3080462161,1
51.5477202691,46.8562902635,0
94.4433677692,65.5689216056,1
82.3687537571,40.6182551597,0
51.0477517713,45.8227014578,0
62.2226757612,52.0609919484,0
77.193034926,70.4582000018,1
97.77159928,86.72782233,1
62.0730637967,96.7688241241,1
91.5649744981,88.6962925455,1
79.9448179407,74.1631193504,1
99.2725269293,60.9990309984,1
90.546714114,43.3906018065,1
34.5245138532,60.3963424584,0
50.286496119,49.8045388132,0
49.5866772163,59.8089509945,0
97.6456339601,68.8615727242,1
32.5772001681,95.5985476139,0
74.2486913672,69.8245712266,1
71.7964620586,78.4535622452,1
75.3956114657,85.7599366733,1
35.2861128153,47.0205139472,0
56.2538174971,39.2614725106,0
30.0588224467,49.5929738672,0
44.6682617248,66.4500861456,0
66.5608944724,41.0920980794,0
40.4575509838,97.5351854891,1
49.0725632191,51.8832118207,0
80.2795740147,92.1160608134,1
66.7467185694,60.9913940274,1
32.7228330406,43.3071730643,0
64.0393204151,78.0316880202,1
72.3464942258,96.2275929676,1
60.4578857392,73.0949980976,1
58.8409562173,75.8584483128,1
99.8278577969,72.3692519338,1
47.2642691085,88.4758649956,1
50.4581598029,75.8098595298,1
60.4555562927,42.5084094357,0
82.2266615779,42.7198785372,0
88.9138964167,69.8037888984,1
94.8345067243,45.6943068025,1
67.3192574692,66.5893531775,1
57.2387063157,59.5142819801,1
80.3667560017,90.9601478975,1
68.4685217859,85.5943071045,1
42.0754545385,78.8447860015,0
75.4777020053,90.4245389975,1
78.635424349,96.6474271689,1
52.3480039879,60.769505256,0
94.0943311252,77.1591050907,1
90.448550971,87.5087917648,1
55.4821611407,35.5707034723,0
74.4926924184,84.8451368493,1
89.8458067072,45.3582836109,1
83.489162745,48.3802857973,1
42.26170081,87.1038509403,1
99.3150088051,68.7754094721,1
55.34001756,64.9319380069,1
74.7758930009,89.5298128951,1
